"filename", "language", "Markdown", "TypeScript", "JSON", "JSON with Comments", "Python", "vue", "HTML", "XML", "PostCSS", "comment", "blank", "total"
"e:\-bishe\Blockchain-MPC\frontend\src\views\assistant\AiAssistantView.vue", "vue", 0, 0, 0, 0, 0, 142, 0, 0, 0, 0, 15, 157
"e:\-bishe\Blockchain-MPC\frontend\src\views\auth\LoginView.vue", "vue", 0, 0, 0, 0, 0, 75, 0, 0, 0, 0, 8, 83
"e:\-bishe\Blockchain-MPC\frontend\src\views\governance\GovernanceOverviewView.vue", "vue", 0, 0, 0, 0, 0, 61, 0, 0, 0, 0, 6, 67
"e:\-bishe\Blockchain-MPC\frontend\src\views\governance\ProposalDetailView.vue", "vue", 0, 0, 0, 0, 0, 76, 0, 0, 0, 0, 9, 85
"e:\-bishe\Blockchain-MPC\frontend\src\views\governance\ProposalListView.vue", "vue", 0, 0, 0, 0, 0, 169, 0, 0, 0, 0, 18, 187
"e:\-bishe\Blockchain-MPC\frontend\src\views\tokens\TokenDetailView.vue", "vue", 0, 0, 0, 0, 0, 231, 0, 0, 0, 0, 21, 252
"e:\-bishe\Blockchain-MPC\frontend\src\views\tokens\TokenOverviewView.vue", "vue", 0, 0, 0, 0, 0, 72, 0, 0, 0, 0, 9, 81
"e:\-bishe\Blockchain-MPC\frontend\tsconfig.app.json", "JSON", 0, 0, 12, 0, 0, 0, 0, 0, 0, 4, 3, 19
"e:\-bishe\Blockchain-MPC\frontend\tsconfig.json", "JSON with Comments", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 1, 12
"e:\-bishe\Blockchain-MPC\frontend\tsconfig.node.json", "JSON", 0, 0, 17, 0, 0, 0, 0, 0, 0, 7, 4, 28
"e:\-bishe\Blockchain-MPC\frontend\vite.config.ts", "TypeScript", 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 3, 27
"Total", "-", -396, 469, 5727, 11, 53, 1701, 13, 35, 461, 20, 173, 8267
